rol,idx,hasta,etiket,skor_once,skor_sonra
degerlendirme,15081,17,1,0.013412237167358398,0.6884936690330505
degerlendirme,16778,17,1,0.8206339478492737,0.07377113401889801
degerlendirme,25938,17,1,0.36478376388549805,0.9996055960655212
degerlendirme,22706,17,1,0.6986107230186462,0.9997010231018066
degerlendirme,28880,17,1,0.7680869698524475,0.9989325404167175
degerlendirme,21352,17,1,0.37543556094169617,0.9863235950469971
degerlendirme,26598,17,1,0.25806868076324463,1.0
degerlendirme,28712,17,1,0.014649936929345131,0.31115517020225525
degerlendirme,16471,17,1,0.08976074308156967,0.9429024457931519
degerlendirme,18773,17,1,0.8738431930541992,0.9999998807907104
degerlendirme,21249,17,1,0.8467726111412048,0.9999973773956299
degerlendirme,20027,17,1,0.9083916544914246,0.997186005115509
degerlendirme,28584,17,1,0.11146379262208939,0.9891893863677979
degerlendirme,26063,17,1,0.03603605926036835,0.9970929622650146
degerlendirme,18273,17,1,0.9388378262519836,0.9999639987945557
degerlendirme,26819,17,1,0.9995243549346924,1.0
degerlendirme,15578,17,1,0.06473727524280548,0.041852716356515884
degerlendirme,17845,17,1,0.9915949702262878,0.9955203533172607
degerlendirme,27616,17,1,0.20102562010288239,0.7559002637863159
degerlendirme,27810,17,1,0.0012400798732414842,0.999984622001648
degerlendirme,25769,17,1,0.5138701796531677,0.9994089603424072
degerlendirme,26366,17,1,0.26033738255500793,0.7927367091178894
degerlendirme,25427,17,1,0.8627381920814514,0.9998867511749268
degerlendirme,27718,17,1,0.9917263984680176,0.9999337196350098
degerlendirme,21086,17,1,0.8272278308868408,0.999996542930603
degerlendirme,25533,17,1,0.110555499792099,0.9999945163726807
degerlendirme,27888,17,1,0.9911679029464722,0.9991718530654907
degerlendirme,19008,17,1,0.8610477447509766,0.9998798370361328
degerlendirme,16893,17,1,0.7380542755126953,0.8896217942237854
degerlendirme,18867,17,1,0.6768056154251099,0.044184114784002304
degerlendirme,27667,17,1,0.009363539516925812,0.0032338183373212814
degerlendirme,22727,17,1,0.6216048002243042,0.9861547350883484
degerlendirme,23293,17,1,0.9793714284896851,0.999995231628418
degerlendirme,27848,17,1,0.9119811654090881,0.9999998807907104
degerlendirme,23547,17,1,0.9917113780975342,0.9999998807907104
degerlendirme,16112,17,1,0.9608590602874756,0.9999203681945801
degerlendirme,28450,17,1,0.9531936049461365,0.9999997615814209
degerlendirme,22777,17,1,0.9997217059135437,0.9999998807907104
degerlendirme,19020,17,1,0.001753203454427421,0.858317494392395
degerlendirme,18740,17,1,0.9572649002075195,0.9999973773956299
degerlendirme,15025,17,1,0.06787396967411041,0.47370120882987976
degerlendirme,15056,17,1,0.17654210329055786,0.9996857643127441
degerlendirme,25046,17,1,0.5851934552192688,0.9989609718322754
degerlendirme,26542,17,1,0.27386578917503357,0.9997017979621887
degerlendirme,21738,17,1,0.9745504856109619,0.9999879598617554
degerlendirme,23414,17,1,0.0675259381532669,0.988396942615509
degerlendirme,27405,17,1,0.008614473044872284,0.006358639802783728
degerlendirme,23610,17,1,0.3410056531429291,0.9998007416725159
degerlendirme,25006,17,1,0.923059344291687,0.9999246597290039
degerlendirme,24904,17,1,0.06179604306817055,0.999996542930603
degerlendirme,18748,17,1,0.9893773198127747,0.9999997615814209
degerlendirme,26689,17,1,0.6107766628265381,0.9999932050704956
degerlendirme,18628,17,1,0.3046543002128601,0.9541888236999512
degerlendirme,23307,17,1,0.904441773891449,0.9999991655349731
degerlendirme,27860,17,1,0.008309641852974892,0.6020962595939636
degerlendirme,21380,17,1,0.025852462276816368,0.9996212720870972
degerlendirme,23418,17,1,0.4635377824306488,0.9996935129165649
degerlendirme,27857,17,1,0.8128890991210938,0.9993552565574646
degerlendirme,21630,17,1,0.007473510690033436,0.19371913373470306
degerlendirme,16464,17,1,0.11978764086961746,0.05758782848715782
degerlendirme,21769,17,1,0.06972669064998627,0.9193829298019409
degerlendirme,23796,17,1,0.9972659349441528,0.9999877214431763
degerlendirme,25890,17,1,0.04554029181599617,0.999957799911499
degerlendirme,18562,17,1,0.9960285425186157,1.0
degerlendirme,22326,17,1,0.9754195213317871,0.9999970197677612
degerlendirme,23311,17,1,0.43259647488594055,0.9999997615814209
degerlendirme,20637,17,1,0.0007638055831193924,0.0094536654651165
degerlendirme,26082,17,1,0.00022731781064067036,0.001325419289059937
degerlendirme,25452,17,1,0.7129337191581726,0.9931936860084534
degerlendirme,15165,17,1,0.47471967339515686,0.9999555349349976
